title,year,genre,plot
The Quest: Everest,2024,Documentary,"'THE QUEST: Everest' Documentary is an extraordinary quest to deeper understand and climb the most legendary mountain in the world, while revealing the remarkable culture, history and nature of Nepal. <> This one-of-a-kind film begins with an exploration of the mysterious South Asian capital city of Kathmandu, before heading to the Himalayan village of Lukla nestled 9400 feet / 2865 meters up in the majestic Khumbu Valley. <> And though there are no roads that lead to Lukla, it is the starting point for most Mt. Everest expeditions in Nepal and where we begin our spectacular 9 day trek to Everest Base Camp. <> Upon arriving and settling in at the base of the most iconic mountain in the world, we are immersed in unique stories and bare witness to what it really takes to climb + survive for 43 more grueling days at 17,500 feet / 5334 meters and above in order to try to reach the daunting 29,032 foot / 8849 meter Summit of Planet Earth. <> From experiencing Mt. Everest like never before to taking in rarely seen accounts about one of the most fascinating countries, 'THE QUEST: Everest' is a captivating cinematic journey like no other, and one which embodies the incredible human spirit of adventure that lives inside us all."
Alien Interloper the Movie,2024,"Animation, Comedy","A feature-length animated film based on the television series ""Alien Interloper,"" Join Melay, Dexter, Issac, Onzoe and more for an adventure you'll never forget."
You were promised to me,2024,Drama,
Untitled Disney,2024,,
Untitled Disney,2024,Animation,"Plot unknown. Upcoming Walt Disney Animation Studios film, in co-production with Walt Disney Pictures."
Disney Presents: Who Shrunk Daniel Funk?,2024,,"Daniel Funk always wanted a brother, but he's got three sisters instead. Until he shrinks to the size of a toe-and discovers Pablo, his twin brother who's always that small. Together, they have mountains of tiny-size fun."
Full Story Complete Pass,2024,Animation,
Le Comte de Monte-Cristo,2024,"Adventure, Thriller",A new adaptation of the famous novel by Alexandre Dumas.
The Zone Action: The Movie,2024,"Animation, Adventure, Comedy, Family, Musical","When an island populated is happy, Campers is visited by mysterious green piggies and villains, it's up to three unlikely outcasts - Heather, Dave and The Wolf - to figure out what a pigs are up to."
Otrazheniye tmy,2024,"Horror, Thriller","Several young couples travel to a private island for a mysterious training retreat that promises to strengthen their relationship. However, during the Retreat, the heroes encounter an ancient demon - a Succubus. This monster feeds on the life energy of people, taking on someone else's appearance and provoking victims to show the worst qualities and do terrible things."
Rahha,2024,Horror,
Vhelma,2024,Drama,
Hazaar Vela Sholay Pahilela Manus,2024,Drama,
Animal Adventures: Save the Forest,2024,,
Cutter,2024,Thriller,The story of a tough man who wakes up in a car accident after he is missing.
Between Moments,2024,Documentary,
Deinfluencer: Offline,2024,Horror,
Sloan,2024,"Horror, Thriller",Five Documentary Filmmakers Set Out To Document a Series of Unsolved Murders. They Get Closer to the Truth than the Police Ever Did.
I Know Exactly How You Die,2024,Horror,"When his slasher-fiction novel manifests in real life, hack writer Rian Burman has to finish his story without getting his protagonist murdered by a seriously sadistic Stalker who will stop at nothing to have her."
Bash,2024,Comedy,
The Dark Face,2024,Action,
Scotoe,2024,Comedy,
The Twelvemile,2024,"Mystery, Thriller",A devoted family man comes face to face with something inexplicable as he struggles with his own mysterious past.
The Forge,2024,,"Isaiah Wright still has to mature. After graduating from high school without any plans for the future, Isaiah receives a push to start making better life decisions . God's plan for him is far greater than he could have ever imagined."
Yoake no subete,2024,Drama,"Misa Fujisawa experiences premenstrual syndrome once a month. During those times, she tries to deal with her uncontrolled irritation at understanding her colleagues at work. One day, when she experiences PMS, her anger explodes at Takatoshi Yamazoe, who has recently begun working at the same company. It was just a small action that triggered her anger, causing her to feel self-hatred. Meanwhile, Takatoshi suffers from panic disorder. Due to that, he gave up on many things in his life and he carries a lethargic attitude to his life. Becoming aware of each other's situation, Takatoshi Yamazoe and Misa Fujisawa begin to share a bond and try to help each other."
The Watchers,2024,"Fantasy, Horror, Mystery, Thriller","Follows Mina, a 28-year-old artist, as she gets stranded in an extensive, immaculate forest in western Ireland. After finding shelter, she becomes trapped alongside three strangers, stalked by mysterious creatures each night."
Il était une fois... Another French Movie,2024,Thriller,
Trap,2024,"Horror, Mystery, Thriller",
Adil,2024,Documentary,"Adil will be a hard-hitting animated documentary, anchored in a deeply personal transformation. It's a raw and direct account about a life driven by the extreme; told with a great desire and conviction to discover the keys to handle tragedy, depression and fame."
Izvan vremena,2024,"Documentary, Music","""Izvan vremena"" (eng. Out of Time) is a feature-length documentary film, which deals with the personality phenomenon of one of the most talented Balkan ethno-pop performers, Bilja Krstic, who achieved a meteoric career in the former Yugoslavia with her impressive talent, beauty and youth."
Black Girls Film,2024,Documentary,
Piril: Sayilarin Gizemi,2024,Animation,
The Greeter,2024,Horror,
Rabb Da Radio 3,2024,"Drama, Romance",
This is Cinema,2024,Comedy,"After years of struggling to become filmmakers, Joe Dunville and Rob Romano are finally given the opportunity to get their first major production of the ground. In the process, they are confronted with realistic, grounded, relatable struggles we have all gone through."
Man Goes on Rant,2024,Drama,"A man struggling with the end of a relationship goes down a fever-dream rabbit hole involving isolation, the millennium, 9/11, viruses and strange coincidences."
Gun Mountain,2024,Action,"Deep in the forest, 28 trained fighters armed to the teeth compete to be the last one standing in this high-octane, hour long shootout."
Blindazh,2024,"Sci-Fi, War","Two friends come to Saur-Mogila - nurse Sergey from Russia and German Paul. They are looking for things from the Second World War and are suddenly transported to 1941, during the battles at Saur-Mogila. The heroes are faced with a choice - to stay and help or return to their own time."
Bhool Bhulaiyaa 3,2024,"Comedy, Horror",
Til Death Do Us,2024,Thriller,A married couple each suspect the other of infidelity. An accusation that could be fatal.
IAMAI,2024,Documentary,"An imaginative, genre-bending exploration of the relationship between humans and artificial intelligence."
Quacker,2024,"Animation, Adventure, Comedy","After the fog cleared up the world, a baby duck tries to get stuck in a nest of the world's biggest egg."
Chakara Chanda Thandavam,2024,"Action, Adventure, Crime, Mystery, Thriller",
Getting LOST,2024,Documentary,"Getting LOST is a documentary revisiting the global television phenomenon LOST. Featuring interviews with the cast and crew, as well as members of the loyal fan base who still celebrate the show twenty years after it originally aired."
Resurrection Sunday,2024,Documentary,
MAXX: Son of the Damned,2024,Sci-Fi,"""Maxx: Son Of The Damned"" is a dark coming-of-age tale that follows Maxx (Mentchaas Anderson), the first natural-born warlock in centuries. After his 21st birthday, Maxx discovers that Eve ( Amy Lyn) the first woman, and her followers want to use his magical abilities to bring about the apocalypse. This throws him into an all-out war to save his soul and the world. With his haunting past catching up with him, will he choose to save humanity or destroy it?"
Dark Fusion,2024,"Action, Sci-Fi","The Stellar corporation discovers a new source of power on an extraterrestrial planet and sends a soldier to recover a sample of that energy, on Earth Dr. Robert Clay, head of the investigation team, develops a suit based on that energy."
Prem Ki Shaadi,2024,"Drama, Romance",
Love Hurts,2024,Comedy,
Heart Love,2024,,A guy hitting a heart and sent love to Valentine's Day.
Great Mysteries of Tutankhamun,2024,Documentary,"Great Mysteries of Tutankhamun, most notably known as King Tut, he was an Ancient Egyptian Pharoah who ruled in the 18th Dynasty of the New Kingdom of Ancient Egypt, this is the story of Tutankhamun, his life, death, and afterlife."
The Experts,2024,"Action, Crime",
The Closed Tunnel,2024,Sci-Fi,"The Closed Tunnel is the first book in the series, an upcoming sci-fi sensation by Anthony Harold. Imagine holding a golden ticket to the high-tech underground cities of 2022, connected by ancient tunnels. Are you ready? Then buckle up."
Book of Blood: The Book Begins,2024,Horror,"A prequel to the 2009 film Book of Blood. This time, Wyburd tries to get Simon out of jail to to join him in his bloody day."
Blood Pressure,2024,"Action, Thriller","A downsized police officer who finds them within thirty minutes of danger, but she is hard and only discovered they are."
A Desperate Pursuit,2024,Action,"A comic-chase action movie about the Gold Medi Valley set in Jeju Island between 'Jo Soo-gwang', a troubled detective with anger control disorder, and 'Kim In-hae', Korea's best swindler and master of transformation."
Untitled Fourth Film Directed by Jordan Peele,2024,"Horror, Mystery, Thriller",Plot kept under wraps.
Untitled Monkeypaw Productions Horror Film,2024,"Horror, Thriller",Plot kept under wraps.
Day Six,2024,"Action, Drama, War","In the early days of the Iraq War, a new team of Dutch Special Forces embeds itself inside an unfinished hotel to spy on the illegal arms trade, while their targets are soon after alerted to their presence and start to hunt them out."
